"","cname","att_support","arms_export","arms_import","conflict","security_apparatus","aid","commonlaw","treaties","polity","refugee","cinc","threat","gdp","gov_eff"
"1","Afghanistan","No support",0,220.8,2239.6,0,0,0,110,-1,23682.8811188811,0.0027339,2.5712218,6.38453100591518,-1.3229887
"2","Albania","Strong Support",0,4.75,0,5.27127704749124,0,0,208,9,558.310580204778,0.0003094,-0.34612906,8.37166014616977,0.010404494
"3","Algeria","No support",0,1288.2,43,2.54,0,0,129,2,93.3132075471698,0.004188,1.0901598,8.43811301841421,-0.50032336
"4","Andorra","Weak Support",0,0,0,NA,0,0,61,NA,1.82352941176471,0.00000239,-1.3912883,10.5730146531044,1.7874973
"5","Angola","Weak Support",0,74.8,8.4,3.74,0,0,82,-2,146.305856832972,0.0024164,0.50089777,8.40968477417959,-1.0000916
"6","Antigua & Barbuda","Strong Support",0,0,0,4.62,0,1,97,NA,14.2352941176471,0.00000539,-1.0047245,9.51793518771998,0.22759423
"7","Argentina","Strong Support",0,27.2,0,6.04,0,0,153,8.6,14.9285714285714,0.0056534,-0.01478538,9.48756141940472,-0.07490325
"8","Armenia","No support",0,64,2,4.68,0,0,247,5,269.554987212276,0.0006372,0.25233263,8.24269217265543,-0.16071257
"9","Australia","Strong Support",90.6,1358.6,0,7.92,0.286829,1,222,10,2.43859649122807,0.0072981,-0.88497984,10.9710250935575,1.5648035
"10","Austria","Strong Support",13.2,6.2,0,8.8,0.3270786,0,319,10,2.27027027027027,0.0020231,-1.1430793,10.7751784789398,1.479388
"11","Azerbaijan","No support",0,369.2,27.6,3.52,0,0,163,-7,9210.42274052478,0.0014056,0.72956556,8.6753333135911,-0.25728205
"12","Bahamas","Strong Support",0,19.5,0,5.64,0,1,112,NA,40.4444444444444,0.0000249,-0.90747648,10.2978881502182,0.71292996
"13","Bahrain","Weak Support",0,22.2,0,3.44,0,0,82,-10,18.8740740740741,0.0005457,1.0735402,10.0755697236213,0.5599696
"14","Bangladesh","Weak Support",0,340.6,19.2,2.24,0,0,104,1.6,420.496389891697,0.0074687,1.2120179,7.11019088328511,-0.72357923
"15","Barbados","Strong Support",0,0,0,5.6555021728355,0,1,107,NA,19.1463414634146,0.0000199,-1.1353613,9.69235123426004,1.0253924
"16","Belarus","No support",93.8,113.2,0,3.82,0,0,301,-7,79.2841225626741,0.0019837,-0.11001652,8.79498260909735,-0.45877218
"17","Belgium","Strong Support",11.6,34.2,0.6,7.82,0.4561356,0,395,8,9.03921568627451,0.0029283,-0.5870946,10.689166626489,1.4386976
"18","Belize","Strong Support",0,0,0,3.90149890751211,0,1,73,NA,18.3191489361702,0.0000196,-0.043097582,8.48826107601307,-0.68415415
"19","Benin","Strong Support",0,0,0,3.92000456569635,0,0,126,7,24.2669039145907,0.0004167,0.013513958,6.74732920029645,-0.6212042
"20","Bhutan","No support",0,1,0,5.26,0,0,54,5,558.934523809524,0.0000482,-0.97471499,7.89374293166901,0.40649128
"21","Bolivia","No support",0,20.25,0,3.52,0,0,103,7,25.5,0.001153,0.26848722,8.04944310500236,-0.65194434
"22","Bosnia & Herzegovina","Strong Support",0,0,0,4.06,0,0,273,NA,1961.73754152824,0.0003801,0.402437,8.5086735234523,-0.54520917
"23","Botswana","No support",0,4,0,6.26,0,0,92,8,21.0731707317073,0.0001817,-1.0420918,8.86969874013015,0.49742386
"24","Brazil","Strong Support",70.4,189.2,10.4,3.72,0,0,159,8,92.3009708737864,0.0250626,0.33145809,9.23905224771554,-0.18399613
"25","Brunei","No support",2.4,79,0,4.72,0,0,70,NA,2.27272727272727,0.0001601,-1.2426623,10.4477044836873,1.0601705
"26","Bulgaria","Strong Support",36.4,3,0,5.76,0.1038372,0,282,9,46.69375,0.0009875,-0.017322188,8.9412275188778,0.20881648
"27","Burkina Faso","Strong Support",0,8,3.4,2.14,0,0,138,3.6,83.0860534124629,0.0007563,0.61110741,6.46296258860079,-0.58661765
"28","Burundi","Weak Support",0,1.5,17.2,1.72,0,0,75,1.8,2885.58439490446,0.0004779,1.9395108,5.63940162613654,-1.1590047
"29","Cape Verde","Strong Support",0,0,0,4.54,0,0,80,10,8.10294117647059,0.0000217,-0.86781043,8.0964393975892,0.14783576
"30","Cambodia","Weak Support",0,0,0,3.48299137784766,0,0,118,0.8,372.844444444444,0.0015826,-0.061942287,7.07748931327787,-0.69941306
"31","Cameroon","Strong Support",0,31.8,66.6,2.14,0,0,134,-4,806.928385416667,0.0012222,0.98960745,7.28103752617088,-0.77331048
"32","Canada","No support",163.2,301.2,0,7.82,0.2640392,1,161,10,9.52830188679245,0.0091552,-1.2746978,10.7508798673481,1.7623708
"33","Central African Republic","Strong Support",0,1,192.6,0.6,0,0,105,2.4,9204.50754716981,0.0002262,1.9047647,5.92076312786635,-1.7847171
"34","Chad","Strong Support",0,20.33333333,8.8,0.82,0,0,69,-2,917.743951612903,0.0006305,0.97455257,6.72240134298613,-1.4610709
"35","Chile","Strong Support",4,89,0,6.9,0,0,144,10,22.1840490797546,0.0027141,-0.43343922,9.59940089294481,1.0863239
"36","China","No support",1526.6,1220.6,0.6,4.1054405510859,0,0,147,-7,2663.1265060241,0.2181166,0.55029464,8.98154960418361,0.40801734
"37","Colombia","Weak Support",2,100,25.6,3.04,0,0,109,7,87999.8020050125,0.0066779,1.0691466,8.83486672761458,-0.036017831
"38","Comoros","Weak Support",0,0,0,3.06,0,0,58,9,34.5645161290323,0.0000265,0.23279147,7.22803344124995,-1.5220474
"39","Congo - Brazzaville","Weak Support",0,7.5,1.8,3.20317797470995,0,0,99,-4,304.159722222222,0.0004443,0.526366,7.69657935355308,-1.0221814
"40","Costa Rica","Strong Support",0,1,0,6.73052042833175,0,0,121,10,39.3734939759036,0.0002579,-0.68202549,9.32435571290981,0.37576279
"41","Côte d’Ivoire","Strong Support",0.2,8.2,0.6,1.96,0,0,142,4,939.303482587065,0.0013411,0.83254594,7.34451561226815,-0.68176073
"42","Côte d’Ivoire","Strong Support",0.2,8.2,0.6,1.96,0,0,142,4,939.303482587065,0.0013411,0.83254594,7.34451561226815,-0.68176073
"43","Croatia","Strong Support",0.6,14.6,0,6.22,0,0,331,9,979.022222222222,0.0004986,-0.59072804,9.46964136865676,0.51401335
"44","Cuba","No support",0,0,0,4.56,0,0,160,-7,112.245544554455,0.0012781,-0.64410168,8.93083448817105,0.02187958
"45","Cyprus","Strong Support",0,30,0,5.60720080122658,0.0938116666666667,0,191,10,2.28125,0.0001778,-0.55086648,10.1522588951029,1.0488374
"46","Czechia","Strong Support",97.2,1,0,7.46,0.1272286,0,388,9,65.8598130841121,0.0017953,-0.9791891,9.86494917222883,1.0467269
"47","North Korea","No support",0.2,0,0,1.56,0,0,56,-10,49.3522727272727,0.0132601,1.1534047,NA,-1.632668
"48","Congo - Kinshasa","No support",0,22.5,179,0.76,0,0,110,1.8,17529.2989690722,0.0047241,2.1508543,6.16431015629666,-1.6292524
"49","Denmark","Strong Support",23,86.4,0,8.44,0.8089376,0,348,10,3.45833333333333,0.0010774,-0.89764982,10.9636395751551,1.8482268
"50","Djibouti","Weak Support",0,11,0.2,3.38,0,0,77,3,46.5891089108911,0.0001731,0.44353157,7.45401876539753,-0.95430905
"51","Dominica","Strong Support",0,0,0,NA,0,1,83,NA,8.48214285714286,0.00000182,-1.0779413,8.88360072766126,0.1174361
"52","Dominican Republic","Strong Support",0.8,0.5,0,4.5,0,0,118,7.6,58.6968085106383,0.00081,-0.23670642,8.78948579691401,-0.35723585
"53","Ecuador","No support",1.6,26.2,0,3.42,0,0,162,5,254.876146788991,0.0015635,0.14395587,8.73210072645184,-0.4422617
"54","Egypt","No support",6,1485.8,58.8,1.86,0,0,309,-4,231.858255451713,0.0098926,1.4966457,8.0697094196273,-0.75222075
"55","El Salvador","Strong Support",0,10.5,0,3.17665641936698,0,0,121,8,1333.98947368421,0.0004124,0.016997365,8.21282675379157,-0.23549879
"56","Equatorial Guinea","No support",0,49.5,0,3.28,0,0,51,-6,8.80689655172414,0.0000595,0.20535243,9.54140856700352,-1.4178815
"57","Eritrea","No support",0,0,0.2,2.64,0,0,43,-7,2748.89774078478,0.0022433,0.8767513,NA,-1.5933083
"58","Estonia","Strong Support",0,22.8,0,6.98,0.1560266,0,284,9,24.2567567567568,0.0001812,-0.62091982,9.85388041820243,1.0681974
"59","Swaziland","Weak Support",0,0,0,4,0,0,77,-9,15.4174757281553,0.0000579,0.47615105,8.07712743756445,-0.53864646
"60","Ethiopia","No support",0,11.8,73.2,1.66,0,0,96,-3,2200.29084588644,0.0038374,1.4981874,6.46122511528552,-0.6466611
"61","Fiji","No support",0,1,0,3.06,0,1,149,0.8,105.753623188406,0.0000621,-0.58030868,8.53702820869766,-0.29120353
"62","Finland","Strong Support",59.4,172,0,8.4,0.5088716,0,399,10,2.13636363636364,0.0015489,-1.0405873,10.7422293105364,1.8133057
"63","France","Strong Support",1989.6,75,1,7.12,0.3911738,0,395,9,7.20512820512821,0.0142069,-0.10670637,10.5844072226544,1.437053
"64","Gabon","Weak Support",0,4,0,5.06,0,0,127,3,14.7602339181287,0.000186,-0.021186959,9.01949897953978,-0.73356396
"65","Gambia","No support",0,0,0,3.98,0,0,92,-3.2,248.56570155902,0.0001077,-0.019588569,6.55487676402153,-0.90346164
"66","Georgia","Strong Support",2.6,15.33333333,0,2.96,0,0,146,7,3761.49473684211,0.000447,0.46608189,8.31577210670915,0.40468311
"67","Germany","Strong Support",1864.8,60.6,0.2,7.92,0.5378956,0,380,10,10.2605042016807,0.0179105,-0.69982427,10.7062841950952,1.7371173
"68","Ghana","Strong Support",0,16.33333333,0,5.98,0,0,145,8,281.003717472119,0.0012461,0.032099333,7.61767529921262,-0.25123566
"69","Greece","Strong Support",6,284.6,0,5.63622957093767,0.1343606,0,294,10,11.1904761904762,0.002971,0.23025236,9.89147072501075,0.25619912
"70","Grenada","Strong Support",0,0,0,4.4,0,1,60,NA,37.9459459459459,0.00000274,-0.79070848,9.13135739853592,-0.19617471
"71","Guatemala","Strong Support",0,18,0.6,2.81532677128127,0,0,139,8,1100.31527093596,0.0008498,0.65506023,8.27771185175175,-0.71100181
"72","Guinea","Strong Support",0,4,0.8,1.04,0,0,120,4,324.37181663837,0.0006508,0.38698834,6.61254240342793,-1.1424235
"73","Guinea-Bissau","Strong Support",0,0,0,1.2,0,0,80,5,65.4395604395604,0.0001168,0.51821637,6.46044379623051,-1.6131402
"74","Guyana","Strong Support",0,2,0,3.91464451643745,0,0,101,6.6,49.7922077922078,0.0000336,0.13965081,8.35793013181697,-0.33540627
